proteinID,esm3EmbeddingFile,esmcEmbeddingFile
8ZPQ-2-B-2-2582,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/8ZPQ-2-B,/data4/hfxie/Dataset/ESMCEmbeddings/8ZPQ-2
7X7U-1-G-1-11870,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7X7U-1-G,/data4/hfxie/Dataset/ESMCEmbeddings/7X7U-1
7X7U-1-L-2-2677,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7X7U-1-L,/data4/hfxie/Dataset/ESMCEmbeddings/7X7U-2
7X7U-1-G-1-11870,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7X7U-1-G,/data4/hfxie/Dataset/ESMCEmbeddings/7X7U-1
7X7U-1-C-7-5953,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7X7U-1-C,/data4/hfxie/Dataset/ESMCEmbeddings/7X7U-7
7X7U-1-G-1-11870,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7X7U-1-G,/data4/hfxie/Dataset/ESMCEmbeddings/7X7U-1
7X7U-1-A-5-8282,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7X7U-1-A,/data4/hfxie/Dataset/ESMCEmbeddings/7X7U-5
7DQA-1-A-1-10935,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7DQA-1-A,/data4/hfxie/Dataset/ESMCEmbeddings/7DQA-1
7DQA-1-C-2-11870,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7DQA-1-C,/data4/hfxie/Dataset/ESMCEmbeddings/7DQA-2
8DTK-1-A-1-11870,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/8DTK-1-A,/data4/hfxie/Dataset/ESMCEmbeddings/8DTK-1
8DTK-1-C-3-5196,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/8DTK-1-C,/data4/hfxie/Dataset/ESMCEmbeddings/8DTK-3
9KVD-1-F-4-2239,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/9KVD-1-F,/data4/hfxie/Dataset/ESMCEmbeddings/9KVD-4
9KVD-1-C-5-11870,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/9KVD-1-C,/data4/hfxie/Dataset/ESMCEmbeddings/9KVD-5
2GHW-1-A-1-11870,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/2GHW-1-A,/data4/hfxie/Dataset/ESMCEmbeddings/2GHW-1
2GHW-1-B-2-9750,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/2GHW-1-B,/data4/hfxie/Dataset/ESMCEmbeddings/2GHW-2
9Y5Y-1-G-1-11870,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/9Y5Y-1-G,/data4/hfxie/Dataset/ESMCEmbeddings/9Y5Y-1
9Y5Y-1-H-2-11309,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/9Y5Y-1-H,/data4/hfxie/Dataset/ESMCEmbeddings/9Y5Y-2
8BG3-1-A-1-8482,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/8BG3-1-A,/data4/hfxie/Dataset/ESMCEmbeddings/8BG3-1
8BG3-1-B-2-11870,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/8BG3-1-B,/data4/hfxie/Dataset/ESMCEmbeddings/8BG3-2
7YD1-1-C-1-11870,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7YD1-1-C,/data4/hfxie/Dataset/ESMCEmbeddings/7YD1-1
7YD1-1-B-3-11017,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7YD1-1-B,/data4/hfxie/Dataset/ESMCEmbeddings/7YD1-3
9KVE-1-C-5-11870,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/9KVE-1-C,/data4/hfxie/Dataset/ESMCEmbeddings/9KVE-5
9KVE-1-D-6-2222,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/9KVE-1-D,/data4/hfxie/Dataset/ESMCEmbeddings/9KVE-6
7EAN-1-A-1-11870,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7EAN-1-A,/data4/hfxie/Dataset/ESMCEmbeddings/7EAN-1
7EAN-1-H-2-6120,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7EAN-1-H,/data4/hfxie/Dataset/ESMCEmbeddings/7EAN-2
7WOP-1-A-1-11870,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7WOP-1-A,/data4/hfxie/Dataset/ESMCEmbeddings/7WOP-1
7WOP-1-C-3-4655,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7WOP-1-C,/data4/hfxie/Dataset/ESMCEmbeddings/7WOP-3
7WOP-1-A-1-11870,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7WOP-1-A,/data4/hfxie/Dataset/ESMCEmbeddings/7WOP-1
7WOP-1-B-2-3620,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7WOP-1-B,/data4/hfxie/Dataset/ESMCEmbeddings/7WOP-2
8YK4-1-A-1-9011,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/8YK4-1-A,/data4/hfxie/Dataset/ESMCEmbeddings/8YK4-1
8YK4-1-C-2-11870,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/8YK4-1-C,/data4/hfxie/Dataset/ESMCEmbeddings/8YK4-2
7WRO-1-H-1-274,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7WRO-1-H,/data4/hfxie/Dataset/ESMCEmbeddings/7WRO-1
7WRO-1-R-3-11870,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7WRO-1-R,/data4/hfxie/Dataset/ESMCEmbeddings/7WRO-3
7WVL-1-H-2-6917,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7WVL-1-H,/data4/hfxie/Dataset/ESMCEmbeddings/7WVL-2
7WVL-1-F-3-11870,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7WVL-1-F,/data4/hfxie/Dataset/ESMCEmbeddings/7WVL-3
8WFM-4-G-1-8018,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/8WFM-4-G,/data4/hfxie/Dataset/ESMCEmbeddings/8WFM-1
8WFM-4-H-2-11870,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/8WFM-4-H,/data4/hfxie/Dataset/ESMCEmbeddings/8WFM-2
7C8J-1-A-1-9188,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7C8J-1-A,/data4/hfxie/Dataset/ESMCEmbeddings/7C8J-1
7C8J-1-B-2-11870,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7C8J-1-B,/data4/hfxie/Dataset/ESMCEmbeddings/7C8J-2
8EDF-1-H-2-6350,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/8EDF-1-H,/data4/hfxie/Dataset/ESMCEmbeddings/8EDF-2
8EDF-1-A-3-11870,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/8EDF-1-A,/data4/hfxie/Dataset/ESMCEmbeddings/8EDF-3
7YD1-1-C-1-11870,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7YD1-1-C,/data4/hfxie/Dataset/ESMCEmbeddings/7YD1-1
7YD1-1-A-2-4635,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7YD1-1-A,/data4/hfxie/Dataset/ESMCEmbeddings/7YD1-2
7K9I-1-A-1-11870,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7K9I-1-A,/data4/hfxie/Dataset/ESMCEmbeddings/7K9I-1
7K9I-1-H-2-516,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7K9I-1-H,/data4/hfxie/Dataset/ESMCEmbeddings/7K9I-2
7YCO-1-A-1-11870,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7YCO-1-A,/data4/hfxie/Dataset/ESMCEmbeddings/7YCO-1
7YCO-1-B-2-2305,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7YCO-1-B,/data4/hfxie/Dataset/ESMCEmbeddings/7YCO-2
8GZZ-1-B-1-11870,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/8GZZ-1-B,/data4/hfxie/Dataset/ESMCEmbeddings/8GZZ-1
8GZZ-1-G-3-6420,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/8GZZ-1-G,/data4/hfxie/Dataset/ESMCEmbeddings/8GZZ-3
7DEO-2-C-1-7426,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7DEO-2-C,/data4/hfxie/Dataset/ESMCEmbeddings/7DEO-1
7DEO-2-D-2-11870,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7DEO-2-D,/data4/hfxie/Dataset/ESMCEmbeddings/7DEO-2
5W21-1-A-1-8873,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/5W21-1-A,/data4/hfxie/Dataset/ESMCEmbeddings/5W21-1
5W21-1-C-3-7631,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/5W21-1-C,/data4/hfxie/Dataset/ESMCEmbeddings/5W21-3
5W21-1-B-2-9250,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/5W21-1-B,/data4/hfxie/Dataset/ESMCEmbeddings/5W21-2
5W21-1-C-3-7631,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/5W21-1-C,/data4/hfxie/Dataset/ESMCEmbeddings/5W21-3
5W21-1-A-1-8873,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/5W21-1-A,/data4/hfxie/Dataset/ESMCEmbeddings/5W21-1
5W21-1-B-2-9250,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/5W21-1-B,/data4/hfxie/Dataset/ESMCEmbeddings/5W21-2
6O2S-1-1D-1-1754,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/6O2S-1-1D,/data4/hfxie/Dataset/ESMCEmbeddings/6O2S-1
6O2S-1-4Q-2-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/6O2S-1-4Q,/data4/hfxie/Dataset/ESMCEmbeddings/6O2S-2
7AU5-1-D-2-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7AU5-1-D,/data4/hfxie/Dataset/ESMCEmbeddings/7AU5-2
7AU5-1-E-3-4697,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7AU5-1-E,/data4/hfxie/Dataset/ESMCEmbeddings/7AU5-3
6Y4M-1-B-2-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/6Y4M-1-B,/data4/hfxie/Dataset/ESMCEmbeddings/6Y4M-2
6Y4M-1-F-4-6406,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/6Y4M-1-F,/data4/hfxie/Dataset/ESMCEmbeddings/6Y4M-4
6WWO-1-B-2-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/6WWO-1-B,/data4/hfxie/Dataset/ESMCEmbeddings/6WWO-2
6WWO-1-K-3-7541,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/6WWO-1-K,/data4/hfxie/Dataset/ESMCEmbeddings/6WWO-3
8CL9-1-B-2-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/8CL9-1-B,/data4/hfxie/Dataset/ESMCEmbeddings/8CL9-2
8CL9-1-F-3-4448,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/8CL9-1-F,/data4/hfxie/Dataset/ESMCEmbeddings/8CL9-3
1FFX-1-B-2-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/1FFX-1-B,/data4/hfxie/Dataset/ESMCEmbeddings/1FFX-2
1FFX-1-E-3-1452,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/1FFX-1-E,/data4/hfxie/Dataset/ESMCEmbeddings/1FFX-3
7TQY-1-K-1-4219,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7TQY-1-K,/data4/hfxie/Dataset/ESMCEmbeddings/7TQY-1
7TQY-1-B-3-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7TQY-1-B,/data4/hfxie/Dataset/ESMCEmbeddings/7TQY-3
8YY5-1-B-2-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/8YY5-1-B,/data4/hfxie/Dataset/ESMCEmbeddings/8YY5-2
8YY5-1-C-3-6918,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/8YY5-1-C,/data4/hfxie/Dataset/ESMCEmbeddings/8YY5-3
8OTZ-1-A7-7-2846,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/8OTZ-1-A7,/data4/hfxie/Dataset/ESMCEmbeddings/8OTZ-7
8OTZ-1-SD-9-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/8OTZ-1-SD,/data4/hfxie/Dataset/ESMCEmbeddings/8OTZ-9
8IYJ-1-BJ-9-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/8IYJ-1-BJ,/data4/hfxie/Dataset/ESMCEmbeddings/8IYJ-9
8IYJ-1-M3-22-636,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/8IYJ-1-M3,/data4/hfxie/Dataset/ESMCEmbeddings/8IYJ-22
8OTZ-1-JF-9-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/8OTZ-1-JF,/data4/hfxie/Dataset/ESMCEmbeddings/8OTZ-9
8OTZ-1-N-51-6727,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/8OTZ-1-N,/data4/hfxie/Dataset/ESMCEmbeddings/8OTZ-51
8OTZ-1-BR-19-201,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/8OTZ-1-BR,/data4/hfxie/Dataset/ESMCEmbeddings/8OTZ-19
8OTZ-1-MJ-9-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/8OTZ-1-MJ,/data4/hfxie/Dataset/ESMCEmbeddings/8OTZ-9
9CPB-1-3V-21-6824,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/9CPB-1-3V,/data4/hfxie/Dataset/ESMCEmbeddings/9CPB-21
9CPB-1-LL-41-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/9CPB-1-LL,/data4/hfxie/Dataset/ESMCEmbeddings/9CPB-41
9CPC-1-4D-21-4322,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/9CPC-1-4D,/data4/hfxie/Dataset/ESMCEmbeddings/9CPC-21
9CPC-1-CB-41-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/9CPC-1-CB,/data4/hfxie/Dataset/ESMCEmbeddings/9CPC-41
8SNB-1-3A-19-2576,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/8SNB-1-3A,/data4/hfxie/Dataset/ESMCEmbeddings/8SNB-19
8SNB-1-WC-55-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/8SNB-1-WC,/data4/hfxie/Dataset/ESMCEmbeddings/8SNB-55
7RRO-1-CB-9-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7RRO-1-CB,/data4/hfxie/Dataset/ESMCEmbeddings/7RRO-9
7RRO-1-W-26-4859,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7RRO-1-W,/data4/hfxie/Dataset/ESMCEmbeddings/7RRO-26
9CPC-1-3U-18-549,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/9CPC-1-3U,/data4/hfxie/Dataset/ESMCEmbeddings/9CPC-18
9CPC-1-LM-41-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/9CPC-1-LM,/data4/hfxie/Dataset/ESMCEmbeddings/9CPC-41
8OTZ-1-BW-22-5254,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/8OTZ-1-BW,/data4/hfxie/Dataset/ESMCEmbeddings/8OTZ-22
8OTZ-1-JD-9-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/8OTZ-1-JD,/data4/hfxie/Dataset/ESMCEmbeddings/8OTZ-9
8OTZ-1-CJ-9-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/8OTZ-1-CJ,/data4/hfxie/Dataset/ESMCEmbeddings/8OTZ-9
8OTZ-1-Df-38-8688,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/8OTZ-1-Df,/data4/hfxie/Dataset/ESMCEmbeddings/8OTZ-38
9CPC-1-6A-37-2077,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/9CPC-1-6A,/data4/hfxie/Dataset/ESMCEmbeddings/9CPC-37
9CPC-1-TO-41-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/9CPC-1-TO,/data4/hfxie/Dataset/ESMCEmbeddings/9CPC-41
7RRO-1-GN-9-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7RRO-1-GN,/data4/hfxie/Dataset/ESMCEmbeddings/7RRO-9
7RRO-1-z-36-8565,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7RRO-1-z,/data4/hfxie/Dataset/ESMCEmbeddings/7RRO-36
8IYJ-1-5-4-7970,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/8IYJ-1-5,/data4/hfxie/Dataset/ESMCEmbeddings/8IYJ-4
8IYJ-1-ID-9-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/8IYJ-1-ID,/data4/hfxie/Dataset/ESMCEmbeddings/8IYJ-9
9DUQ-1-r-1-7397,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/9DUQ-1-r,/data4/hfxie/Dataset/ESMCEmbeddings/9DUQ-1
9DUQ-1-B-2-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/9DUQ-1-B,/data4/hfxie/Dataset/ESMCEmbeddings/9DUQ-2
9YA2-1-F1-3-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/9YA2-1-F1,/data4/hfxie/Dataset/ESMCEmbeddings/9YA2-3
9YA2-1-x-7-6174,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/9YA2-1-x,/data4/hfxie/Dataset/ESMCEmbeddings/9YA2-7
9YA2-1-C5-3-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/9YA2-1-C5,/data4/hfxie/Dataset/ESMCEmbeddings/9YA2-3
9YA2-1-k-8-150,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/9YA2-1-k,/data4/hfxie/Dataset/ESMCEmbeddings/9YA2-8
7TUB-1-A-1-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7TUB-1-A,/data4/hfxie/Dataset/ESMCEmbeddings/7TUB-1
7TUB-1-I-9-3277,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7TUB-1-I,/data4/hfxie/Dataset/ESMCEmbeddings/7TUB-9
7TUB-1-A-1-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7TUB-1-A,/data4/hfxie/Dataset/ESMCEmbeddings/7TUB-1
7TUB-1-F-6-5772,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7TUB-1-F,/data4/hfxie/Dataset/ESMCEmbeddings/7TUB-6
7TUB-1-A-1-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7TUB-1-A,/data4/hfxie/Dataset/ESMCEmbeddings/7TUB-1
7TUB-1-E-5-1682,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7TUB-1-E,/data4/hfxie/Dataset/ESMCEmbeddings/7TUB-5
7X0S-1-G-4-6059,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7X0S-1-G,/data4/hfxie/Dataset/ESMCEmbeddings/7X0S-4
7X0S-1-R-9-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7X0S-1-R,/data4/hfxie/Dataset/ESMCEmbeddings/7X0S-9
7X0S-1-H-3-3583,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7X0S-1-H,/data4/hfxie/Dataset/ESMCEmbeddings/7X0S-3
7X0S-1-R-9-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7X0S-1-R,/data4/hfxie/Dataset/ESMCEmbeddings/7X0S-9
7X0S-1-J-2-4439,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7X0S-1-J,/data4/hfxie/Dataset/ESMCEmbeddings/7X0S-2
7X0S-1-R-9-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7X0S-1-R,/data4/hfxie/Dataset/ESMCEmbeddings/7X0S-9
7N61-1-0P-6-2559,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7N61-1-0P,/data4/hfxie/Dataset/ESMCEmbeddings/7N61-6
7N61-1-1g-17-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7N61-1-1g,/data4/hfxie/Dataset/ESMCEmbeddings/7N61-17
7N61-1-0V-10-2469,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7N61-1-0V,/data4/hfxie/Dataset/ESMCEmbeddings/7N61-10
7N61-1-3e-17-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7N61-1-3e,/data4/hfxie/Dataset/ESMCEmbeddings/7N61-17
7N61-1-0U-9-2963,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7N61-1-0U,/data4/hfxie/Dataset/ESMCEmbeddings/7N61-9
7N61-1-5g-17-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7N61-1-5g,/data4/hfxie/Dataset/ESMCEmbeddings/7N61-17
7N61-1-0T-8-5733,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7N61-1-0T,/data4/hfxie/Dataset/ESMCEmbeddings/7N61-8
7N61-1-Dg-17-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7N61-1-Dg,/data4/hfxie/Dataset/ESMCEmbeddings/7N61-17
7N61-1-0S-7-3387,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7N61-1-0S,/data4/hfxie/Dataset/ESMCEmbeddings/7N61-7
7N61-1-2c-17-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7N61-1-2c,/data4/hfxie/Dataset/ESMCEmbeddings/7N61-17
6B0I-1-K-2-6400,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/6B0I-1-K,/data4/hfxie/Dataset/ESMCEmbeddings/6B0I-2
6B0I-1-B-3-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/6B0I-1-B,/data4/hfxie/Dataset/ESMCEmbeddings/6B0I-3
7YLW-1-D-3-7,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7YLW-1-D,/data4/hfxie/Dataset/ESMCEmbeddings/7YLW-3
7YLW-1-T-8-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7YLW-1-T,/data4/hfxie/Dataset/ESMCEmbeddings/7YLW-8
7YLW-1-G-5-1707,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7YLW-1-G,/data4/hfxie/Dataset/ESMCEmbeddings/7YLW-5
7YLW-1-T-8-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7YLW-1-T,/data4/hfxie/Dataset/ESMCEmbeddings/7YLW-8
7YLW-1-Q-7-2869,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7YLW-1-Q,/data4/hfxie/Dataset/ESMCEmbeddings/7YLW-7
7YLW-1-T-8-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/7YLW-1-T,/data4/hfxie/Dataset/ESMCEmbeddings/7YLW-8
9E78-1-HF-1-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/9E78-1-HF,/data4/hfxie/Dataset/ESMCEmbeddings/9E78-1
9E78-1-0n-17-6763,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/9E78-1-0n,/data4/hfxie/Dataset/ESMCEmbeddings/9E78-17
9E78-1-MF-1-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/9E78-1-MF,/data4/hfxie/Dataset/ESMCEmbeddings/9E78-1
9E78-1-2G-33-7256,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/9E78-1-2G,/data4/hfxie/Dataset/ESMCEmbeddings/9E78-33
9Y6S-1-CE-1-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/9Y6S-1-CE,/data4/hfxie/Dataset/ESMCEmbeddings/9Y6S-1
9Y6S-1-1Q-26-1655,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/9Y6S-1-1Q,/data4/hfxie/Dataset/ESMCEmbeddings/9Y6S-26
9E78-1-JE-1-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/9E78-1-JE,/data4/hfxie/Dataset/ESMCEmbeddings/9E78-1
9E78-1-0r-19-4515,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/9E78-1-0r,/data4/hfxie/Dataset/ESMCEmbeddings/9E78-19
9E78-1-AJ-1-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/9E78-1-AJ,/data4/hfxie/Dataset/ESMCEmbeddings/9E78-1
9E78-1-XQ-4-450,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/9E78-1-XQ,/data4/hfxie/Dataset/ESMCEmbeddings/9E78-4
9E78-1-CK-1-8712,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/9E78-1-CK,/data4/hfxie/Dataset/ESMCEmbeddings/9E78-1
9E78-1-1J-24-411,/data4/hfxie/Dataset/ESM3EmbeddingsWithSequence/9E78-1-1J,/data4/hfxie/Dataset/ESMCEmbeddings/9E78-24
