proteinIDA,proteinIDB,interfaceA,interfaceB,clusterIDA,clusterIDB,entryID
2GHW-1-A-1-11870,2GHW-1-B-2-9750,/data4/hfxie/Dataset/Interfaces/2GHW/1/A-B-A,/data4/hfxie/Dataset/Interfaces/2GHW/1/A-B-B,11870,9750,2GHW
9Y5Y-1-G-1-11870,9Y5Y-1-H-2-11309,/data4/hfxie/Dataset/Interfaces/9Y5Y/1/G-H-G,/data4/hfxie/Dataset/Interfaces/9Y5Y/1/G-H-H,11870,11309,9Y5Y
8BG3-1-A-1-8482,8BG3-1-B-2-11870,/data4/hfxie/Dataset/Interfaces/8BG3/1/A-B-A,/data4/hfxie/Dataset/Interfaces/8BG3/1/A-B-B,8482,11870,8BG3
7YD1-1-C-1-11870,7YD1-1-B-3-11017,/data4/hfxie/Dataset/Interfaces/7YD1/1/C-B-C,/data4/hfxie/Dataset/Interfaces/7YD1/1/C-B-B,11870,11017,7YD1
9KVE-1-C-5-11870,9KVE-1-D-6-2222,/data4/hfxie/Dataset/Interfaces/9KVE/1/C-D-C,/data4/hfxie/Dataset/Interfaces/9KVE/1/C-D-D,11870,2222,9KVE
7EAN-1-A-1-11870,7EAN-1-H-2-6120,/data4/hfxie/Dataset/Interfaces/7EAN/1/A-H-A,/data4/hfxie/Dataset/Interfaces/7EAN/1/A-H-H,11870,6120,7EAN
7WOP-1-A-1-11870,7WOP-1-C-3-4655,/data4/hfxie/Dataset/Interfaces/7WOP/1/A-C-A,/data4/hfxie/Dataset/Interfaces/7WOP/1/A-C-C,11870,4655,7WOP
7WOP-1-A-1-11870,7WOP-1-B-2-3620,/data4/hfxie/Dataset/Interfaces/7WOP/1/A-B-A,/data4/hfxie/Dataset/Interfaces/7WOP/1/A-B-B,11870,3620,7WOP
8YK4-1-A-1-9011,8YK4-1-C-2-11870,/data4/hfxie/Dataset/Interfaces/8YK4/1/A-C-A,/data4/hfxie/Dataset/Interfaces/8YK4/1/A-C-C,9011,11870,8YK4
7WRO-1-H-1-274,7WRO-1-R-3-11870,/data4/hfxie/Dataset/Interfaces/7WRO/1/H-R-H,/data4/hfxie/Dataset/Interfaces/7WRO/1/H-R-R,274,11870,7WRO
7WVL-1-H-2-6917,7WVL-1-F-3-11870,/data4/hfxie/Dataset/Interfaces/7WVL/1/H-F-H,/data4/hfxie/Dataset/Interfaces/7WVL/1/H-F-F,6917,11870,7WVL
8WFM-4-G-1-8018,8WFM-4-H-2-11870,/data4/hfxie/Dataset/Interfaces/8WFM/4/G-H-G,/data4/hfxie/Dataset/Interfaces/8WFM/4/G-H-H,8018,11870,8WFM
7C8J-1-A-1-9188,7C8J-1-B-2-11870,/data4/hfxie/Dataset/Interfaces/7C8J/1/A-B-A,/data4/hfxie/Dataset/Interfaces/7C8J/1/A-B-B,9188,11870,7C8J
8EDF-1-H-2-6350,8EDF-1-A-3-11870,/data4/hfxie/Dataset/Interfaces/8EDF/1/H-A-H,/data4/hfxie/Dataset/Interfaces/8EDF/1/H-A-A,6350,11870,8EDF
7YD1-1-C-1-11870,7YD1-1-A-2-4635,/data4/hfxie/Dataset/Interfaces/7YD1/1/C-A-C,/data4/hfxie/Dataset/Interfaces/7YD1/1/C-A-A,11870,4635,7YD1
7K9I-1-A-1-11870,7K9I-1-H-2-516,/data4/hfxie/Dataset/Interfaces/7K9I/1/A-H-A,/data4/hfxie/Dataset/Interfaces/7K9I/1/A-H-H,11870,516,7K9I
7YCO-1-A-1-11870,7YCO-1-B-2-2305,/data4/hfxie/Dataset/Interfaces/7YCO/1/A-B-A,/data4/hfxie/Dataset/Interfaces/7YCO/1/A-B-B,11870,2305,7YCO
8GZZ-1-B-1-11870,8GZZ-1-G-3-6420,/data4/hfxie/Dataset/Interfaces/8GZZ/1/B-G-B,/data4/hfxie/Dataset/Interfaces/8GZZ/1/B-G-G,11870,6420,8GZZ
7DEO-2-C-1-7426,7DEO-2-D-2-11870,/data4/hfxie/Dataset/Interfaces/7DEO/2/C-D-C,/data4/hfxie/Dataset/Interfaces/7DEO/2/C-D-D,7426,11870,7DEO
5W21-1-A-1-8873,5W21-1-C-3-7631,/data4/hfxie/Dataset/Interfaces/5W21/1/A-C-A,/data4/hfxie/Dataset/Interfaces/5W21/1/A-C-C,8873,7631,5W21
5W21-1-B-2-9250,5W21-1-C-3-7631,/data4/hfxie/Dataset/Interfaces/5W21/1/B-C-B,/data4/hfxie/Dataset/Interfaces/5W21/1/B-C-C,9250,7631,5W21
5W21-1-A-1-8873,5W21-1-B-2-9250,/data4/hfxie/Dataset/Interfaces/5W21/1/A-B-A,/data4/hfxie/Dataset/Interfaces/5W21/1/A-B-B,8873,9250,5W21
6O2S-1-1D-1-1754,6O2S-1-4Q-2-8712,/data4/hfxie/Dataset/Interfaces/6O2S/1/1D-4Q-1D,/data4/hfxie/Dataset/Interfaces/6O2S/1/1D-4Q-4Q,1754,8712,6O2S
7AU5-1-D-2-8712,7AU5-1-E-3-4697,/data4/hfxie/Dataset/Interfaces/7AU5/1/D-E-D,/data4/hfxie/Dataset/Interfaces/7AU5/1/D-E-E,8712,4697,7AU5
6Y4M-1-B-2-8712,6Y4M-1-F-4-6406,/data4/hfxie/Dataset/Interfaces/6Y4M/1/B-F-B,/data4/hfxie/Dataset/Interfaces/6Y4M/1/B-F-F,8712,6406,6Y4M
6WWO-1-B-2-8712,6WWO-1-K-3-7541,/data4/hfxie/Dataset/Interfaces/6WWO/1/B-K-B,/data4/hfxie/Dataset/Interfaces/6WWO/1/B-K-K,8712,7541,6WWO
8CL9-1-B-2-8712,8CL9-1-F-3-4448,/data4/hfxie/Dataset/Interfaces/8CL9/1/B-F-B,/data4/hfxie/Dataset/Interfaces/8CL9/1/B-F-F,8712,4448,8CL9
1FFX-1-B-2-8712,1FFX-1-E-3-1452,/data4/hfxie/Dataset/Interfaces/1FFX/1/B-E-B,/data4/hfxie/Dataset/Interfaces/1FFX/1/B-E-E,8712,1452,1FFX
7TQY-1-K-1-4219,7TQY-1-B-3-8712,/data4/hfxie/Dataset/Interfaces/7TQY/1/K-B-K,/data4/hfxie/Dataset/Interfaces/7TQY/1/K-B-B,4219,8712,7TQY
8YY5-1-B-2-8712,8YY5-1-C-3-6918,/data4/hfxie/Dataset/Interfaces/8YY5/1/B-C-B,/data4/hfxie/Dataset/Interfaces/8YY5/1/B-C-C,8712,6918,8YY5
8OTZ-1-A7-7-2846,8OTZ-1-SD-9-8712,/data4/hfxie/Dataset/Interfaces/8OTZ/1/A7-SD-A7,/data4/hfxie/Dataset/Interfaces/8OTZ/1/A7-SD-SD,2846,8712,8OTZ
8IYJ-1-BJ-9-8712,8IYJ-1-M3-22-636,/data4/hfxie/Dataset/Interfaces/8IYJ/1/BJ-M3-BJ,/data4/hfxie/Dataset/Interfaces/8IYJ/1/BJ-M3-M3,8712,636,8IYJ
8OTZ-1-JF-9-8712,8OTZ-1-N-51-6727,/data4/hfxie/Dataset/Interfaces/8OTZ/1/JF-N-JF,/data4/hfxie/Dataset/Interfaces/8OTZ/1/JF-N-N,8712,6727,8OTZ
8OTZ-1-BR-19-201,8OTZ-1-MJ-9-8712,/data4/hfxie/Dataset/Interfaces/8OTZ/1/BR-MJ-BR,/data4/hfxie/Dataset/Interfaces/8OTZ/1/BR-MJ-MJ,201,8712,8OTZ
9CPB-1-3V-21-6824,9CPB-1-LL-41-8712,/data4/hfxie/Dataset/Interfaces/9CPB/1/3V-LL-3V,/data4/hfxie/Dataset/Interfaces/9CPB/1/3V-LL-LL,6824,8712,9CPB
9CPC-1-4D-21-4322,9CPC-1-CB-41-8712,/data4/hfxie/Dataset/Interfaces/9CPC/1/4D-CB-4D,/data4/hfxie/Dataset/Interfaces/9CPC/1/4D-CB-CB,4322,8712,9CPC
8SNB-1-3A-19-2576,8SNB-1-WC-55-8712,/data4/hfxie/Dataset/Interfaces/8SNB/1/3A-WC-3A,/data4/hfxie/Dataset/Interfaces/8SNB/1/3A-WC-WC,2576,8712,8SNB
7RRO-1-CB-9-8712,7RRO-1-W-26-4859,/data4/hfxie/Dataset/Interfaces/7RRO/1/CB-W-CB,/data4/hfxie/Dataset/Interfaces/7RRO/1/CB-W-W,8712,4859,7RRO
9CPC-1-3U-18-549,9CPC-1-LM-41-8712,/data4/hfxie/Dataset/Interfaces/9CPC/1/3U-LM-3U,/data4/hfxie/Dataset/Interfaces/9CPC/1/3U-LM-LM,549,8712,9CPC
8OTZ-1-BW-22-5254,8OTZ-1-JD-9-8712,/data4/hfxie/Dataset/Interfaces/8OTZ/1/BW-JD-BW,/data4/hfxie/Dataset/Interfaces/8OTZ/1/BW-JD-JD,5254,8712,8OTZ
8OTZ-1-CJ-9-8712,8OTZ-1-Df-38-8688,/data4/hfxie/Dataset/Interfaces/8OTZ/1/CJ-Df-CJ,/data4/hfxie/Dataset/Interfaces/8OTZ/1/CJ-Df-Df,8712,8688,8OTZ
9CPC-1-6A-37-2077,9CPC-1-TO-41-8712,/data4/hfxie/Dataset/Interfaces/9CPC/1/6A-TO-6A,/data4/hfxie/Dataset/Interfaces/9CPC/1/6A-TO-TO,2077,8712,9CPC
7RRO-1-GN-9-8712,7RRO-1-z-36-8565,/data4/hfxie/Dataset/Interfaces/7RRO/1/GN-z-GN,/data4/hfxie/Dataset/Interfaces/7RRO/1/GN-z-z,8712,8565,7RRO
8IYJ-1-5-4-7970,8IYJ-1-ID-9-8712,/data4/hfxie/Dataset/Interfaces/8IYJ/1/5-ID-5,/data4/hfxie/Dataset/Interfaces/8IYJ/1/5-ID-ID,7970,8712,8IYJ
9DUQ-1-r-1-7397,9DUQ-1-B-2-8712,/data4/hfxie/Dataset/Interfaces/9DUQ/1/r-B-r,/data4/hfxie/Dataset/Interfaces/9DUQ/1/r-B-B,7397,8712,9DUQ
9YA2-1-F1-3-8712,9YA2-1-x-7-6174,/data4/hfxie/Dataset/Interfaces/9YA2/1/F1-x-F1,/data4/hfxie/Dataset/Interfaces/9YA2/1/F1-x-x,8712,6174,9YA2
9YA2-1-C5-3-8712,9YA2-1-k-8-150,/data4/hfxie/Dataset/Interfaces/9YA2/1/C5-k-C5,/data4/hfxie/Dataset/Interfaces/9YA2/1/C5-k-k,8712,150,9YA2
7TUB-1-A-1-8712,7TUB-1-I-9-3277,/data4/hfxie/Dataset/Interfaces/7TUB/1/A-I-A,/data4/hfxie/Dataset/Interfaces/7TUB/1/A-I-I,8712,3277,7TUB
7TUB-1-A-1-8712,7TUB-1-F-6-5772,/data4/hfxie/Dataset/Interfaces/7TUB/1/A-F-A,/data4/hfxie/Dataset/Interfaces/7TUB/1/A-F-F,8712,5772,7TUB
7TUB-1-A-1-8712,7TUB-1-E-5-1682,/data4/hfxie/Dataset/Interfaces/7TUB/1/A-E-A,/data4/hfxie/Dataset/Interfaces/7TUB/1/A-E-E,8712,1682,7TUB
7X0S-1-G-4-6059,7X0S-1-R-9-8712,/data4/hfxie/Dataset/Interfaces/7X0S/1/G-R-G,/data4/hfxie/Dataset/Interfaces/7X0S/1/G-R-R,6059,8712,7X0S
7X0S-1-H-3-3583,7X0S-1-R-9-8712,/data4/hfxie/Dataset/Interfaces/7X0S/1/H-R-H,/data4/hfxie/Dataset/Interfaces/7X0S/1/H-R-R,3583,8712,7X0S
7X0S-1-J-2-4439,7X0S-1-R-9-8712,/data4/hfxie/Dataset/Interfaces/7X0S/1/J-R-J,/data4/hfxie/Dataset/Interfaces/7X0S/1/J-R-R,4439,8712,7X0S
7N61-1-0P-6-2559,7N61-1-1g-17-8712,/data4/hfxie/Dataset/Interfaces/7N61/1/0P-1g-0P,/data4/hfxie/Dataset/Interfaces/7N61/1/0P-1g-1g,2559,8712,7N61
7N61-1-0V-10-2469,7N61-1-3e-17-8712,/data4/hfxie/Dataset/Interfaces/7N61/1/0V-3e-0V,/data4/hfxie/Dataset/Interfaces/7N61/1/0V-3e-3e,2469,8712,7N61
7N61-1-0U-9-2963,7N61-1-5g-17-8712,/data4/hfxie/Dataset/Interfaces/7N61/1/0U-5g-0U,/data4/hfxie/Dataset/Interfaces/7N61/1/0U-5g-5g,2963,8712,7N61
7N61-1-0T-8-5733,7N61-1-Dg-17-8712,/data4/hfxie/Dataset/Interfaces/7N61/1/0T-Dg-0T,/data4/hfxie/Dataset/Interfaces/7N61/1/0T-Dg-Dg,5733,8712,7N61
7N61-1-0S-7-3387,7N61-1-2c-17-8712,/data4/hfxie/Dataset/Interfaces/7N61/1/0S-2c-0S,/data4/hfxie/Dataset/Interfaces/7N61/1/0S-2c-2c,3387,8712,7N61
6B0I-1-K-2-6400,6B0I-1-B-3-8712,/data4/hfxie/Dataset/Interfaces/6B0I/1/K-B-K,/data4/hfxie/Dataset/Interfaces/6B0I/1/K-B-B,6400,8712,6B0I
7YLW-1-D-3-7,7YLW-1-T-8-8712,/data4/hfxie/Dataset/Interfaces/7YLW/1/D-T-D,/data4/hfxie/Dataset/Interfaces/7YLW/1/D-T-T,7,8712,7YLW
7YLW-1-G-5-1707,7YLW-1-T-8-8712,/data4/hfxie/Dataset/Interfaces/7YLW/1/G-T-G,/data4/hfxie/Dataset/Interfaces/7YLW/1/G-T-T,1707,8712,7YLW
7YLW-1-Q-7-2869,7YLW-1-T-8-8712,/data4/hfxie/Dataset/Interfaces/7YLW/1/Q-T-Q,/data4/hfxie/Dataset/Interfaces/7YLW/1/Q-T-T,2869,8712,7YLW
9E78-1-HF-1-8712,9E78-1-0n-17-6763,/data4/hfxie/Dataset/Interfaces/9E78/1/HF-0n-HF,/data4/hfxie/Dataset/Interfaces/9E78/1/HF-0n-0n,8712,6763,9E78
9E78-1-MF-1-8712,9E78-1-2G-33-7256,/data4/hfxie/Dataset/Interfaces/9E78/1/MF-2G-MF,/data4/hfxie/Dataset/Interfaces/9E78/1/MF-2G-2G,8712,7256,9E78
9Y6S-1-CE-1-8712,9Y6S-1-1Q-26-1655,/data4/hfxie/Dataset/Interfaces/9Y6S/1/CE-1Q-CE,/data4/hfxie/Dataset/Interfaces/9Y6S/1/CE-1Q-1Q,8712,1655,9Y6S
9E78-1-JE-1-8712,9E78-1-0r-19-4515,/data4/hfxie/Dataset/Interfaces/9E78/1/JE-0r-JE,/data4/hfxie/Dataset/Interfaces/9E78/1/JE-0r-0r,8712,4515,9E78
9E78-1-AJ-1-8712,9E78-1-XQ-4-450,/data4/hfxie/Dataset/Interfaces/9E78/1/AJ-XQ-AJ,/data4/hfxie/Dataset/Interfaces/9E78/1/AJ-XQ-XQ,8712,450,9E78
9E78-1-CK-1-8712,9E78-1-1J-24-411,/data4/hfxie/Dataset/Interfaces/9E78/1/CK-1J-CK,/data4/hfxie/Dataset/Interfaces/9E78/1/CK-1J-1J,8712,411,9E78
9E78-1-LI-1-8712,9E78-1-1E-23-3405,/data4/hfxie/Dataset/Interfaces/9E78/1/LI-1E-LI,/data4/hfxie/Dataset/Interfaces/9E78/1/LI-1E-1E,8712,3405,9E78
9E78-1-LK-1-8712,9E78-1-0d-14-1204,/data4/hfxie/Dataset/Interfaces/9E78/1/LK-0d-LK,/data4/hfxie/Dataset/Interfaces/9E78/1/LK-0d-0d,8712,1204,9E78
9Y6S-1-CG-1-8712,9Y6S-1-1O-25-6706,/data4/hfxie/Dataset/Interfaces/9Y6S/1/CG-1O-CG,/data4/hfxie/Dataset/Interfaces/9Y6S/1/CG-1O-1O,8712,6706,9Y6S
9E78-1-LG-1-8712,9E78-1-0Z-13-4185,/data4/hfxie/Dataset/Interfaces/9E78/1/LG-0Z-LG,/data4/hfxie/Dataset/Interfaces/9E78/1/LG-0Z-0Z,8712,4185,9E78
9E78-1-EF-1-8712,9E78-1-2r-42-3398,/data4/hfxie/Dataset/Interfaces/9E78/1/EF-2r-EF,/data4/hfxie/Dataset/Interfaces/9E78/1/EF-2r-2r,8712,3398,9E78
9E78-1-KC-1-8712,9E78-1-0t-20-7688,/data4/hfxie/Dataset/Interfaces/9E78/1/KC-0t-KC,/data4/hfxie/Dataset/Interfaces/9E78/1/KC-0t-0t,8712,7688,9E78
9E78-1-AH-1-8712,9E78-1-XP-5-560,/data4/hfxie/Dataset/Interfaces/9E78/1/AH-XP-AH,/data4/hfxie/Dataset/Interfaces/9E78/1/AH-XP-XP,8712,560,9E78
9E78-1-MJ-1-8712,9E78-1-2w-44-8665,/data4/hfxie/Dataset/Interfaces/9E78/1/MJ-2w-MJ,/data4/hfxie/Dataset/Interfaces/9E78/1/MJ-2w-2w,8712,8665,9E78
9E2G-1-4K-53-5724,9E2G-1-JK-60-8712,/data4/hfxie/Dataset/Interfaces/9E2G/1/4K-JK-4K,/data4/hfxie/Dataset/Interfaces/9E2G/1/4K-JK-JK,5724,8712,9E2G
9E2G-1-2Z-41-5827,9E2G-1-HJ-60-8712,/data4/hfxie/Dataset/Interfaces/9E2G/1/2Z-HJ-2Z,/data4/hfxie/Dataset/Interfaces/9E2G/1/2Z-HJ-HJ,5827,8712,9E2G
9E2G-1-2B-33-7975,9E2G-1-KZ-60-8712,/data4/hfxie/Dataset/Interfaces/9E2G/1/2B-KZ-2B,/data4/hfxie/Dataset/Interfaces/9E2G/1/2B-KZ-KZ,7975,8712,9E2G
9E5C-1-0F-1-2573,9E5C-1-HT-153-8712,/data4/hfxie/Dataset/Interfaces/9E5C/1/0F-HT-0F,/data4/hfxie/Dataset/Interfaces/9E5C/1/0F-HT-HT,2573,8712,9E5C
9E5C-1-0G-2-8068,9E5C-1-LS-153-8712,/data4/hfxie/Dataset/Interfaces/9E5C/1/0G-LS-0G,/data4/hfxie/Dataset/Interfaces/9E5C/1/0G-LS-LS,8068,8712,9E5C
9E2G-1-4R-57-7545,9E2G-1-GB-60-8712,/data4/hfxie/Dataset/Interfaces/9E2G/1/4R-GB-4R,/data4/hfxie/Dataset/Interfaces/9E2G/1/4R-GB-GB,7545,8712,9E2G
9E2G-1-1U-31-5116,9E2G-1-EA-60-8712,/data4/hfxie/Dataset/Interfaces/9E2G/1/1U-EA-1U,/data4/hfxie/Dataset/Interfaces/9E2G/1/1U-EA-EA,5116,8712,9E2G
9E2G-1-1I-26-5828,9E2G-1-FC-60-8712,/data4/hfxie/Dataset/Interfaces/9E2G/1/1I-FC-1I,/data4/hfxie/Dataset/Interfaces/9E2G/1/1I-FC-FC,5828,8712,9E2G
9E2G-1-2I-36-8160,9E2G-1-ES-60-8712,/data4/hfxie/Dataset/Interfaces/9E2G/1/2I-ES-2I,/data4/hfxie/Dataset/Interfaces/9E2G/1/2I-ES-ES,8160,8712,9E2G
9E2G-1-0Z-17-557,9E2G-1-FI-60-8712,/data4/hfxie/Dataset/Interfaces/9E2G/1/0Z-FI-0Z,/data4/hfxie/Dataset/Interfaces/9E2G/1/0Z-FI-FI,557,8712,9E2G
9E2G-1-1D-21-2204,9E2G-1-BF-60-8712,/data4/hfxie/Dataset/Interfaces/9E2G/1/1D-BF-1D,/data4/hfxie/Dataset/Interfaces/9E2G/1/1D-BF-BF,2204,8712,9E2G
9E2G-1-2M-37-4524,9E2G-1-EM-60-8712,/data4/hfxie/Dataset/Interfaces/9E2G/1/2M-EM-2M,/data4/hfxie/Dataset/Interfaces/9E2G/1/2M-EM-EM,4524,8712,9E2G
9E2G-1-2N-38-7693,9E2G-1-FG-60-8712,/data4/hfxie/Dataset/Interfaces/9E2G/1/2N-FG-2N,/data4/hfxie/Dataset/Interfaces/9E2G/1/2N-FG-FG,7693,8712,9E2G
9E2G-1-0Q-8-78,9E2G-1-AF-60-8712,/data4/hfxie/Dataset/Interfaces/9E2G/1/0Q-AF-0Q,/data4/hfxie/Dataset/Interfaces/9E2G/1/0Q-AF-AF,78,8712,9E2G
9NNL-1-F-1-8712,9NNL-1-G-2-7976,/data4/hfxie/Dataset/Interfaces/9NNL/1/F-G-F,/data4/hfxie/Dataset/Interfaces/9NNL/1/F-G-G,8712,7976,9NNL
7SQC-1-UG-25-8712,7SQC-1-W5-36-3535,/data4/hfxie/Dataset/Interfaces/7SQC/1/UG-W5-UG,/data4/hfxie/Dataset/Interfaces/7SQC/1/UG-W5-W5,8712,3535,7SQC
7SQC-1-QE-25-8712,7SQC-1-W9-37-3805,/data4/hfxie/Dataset/Interfaces/7SQC/1/QE-W9-QE,/data4/hfxie/Dataset/Interfaces/7SQC/1/QE-W9-W9,8712,3805,7SQC
7SQC-1-N0-23-7469,7SQC-1-UO-25-8712,/data4/hfxie/Dataset/Interfaces/7SQC/1/N0-UO-N0,/data4/hfxie/Dataset/Interfaces/7SQC/1/N0-UO-UO,7469,8712,7SQC
8SNB-1-7C-36-369,8SNB-1-CL-55-8712,/data4/hfxie/Dataset/Interfaces/8SNB/1/7C-CL-7C,/data4/hfxie/Dataset/Interfaces/8SNB/1/7C-CL-CL,369,8712,8SNB
8SNB-1-8G-43-5129,8SNB-1-LF-55-8712,/data4/hfxie/Dataset/Interfaces/8SNB/1/8G-LF-8G,/data4/hfxie/Dataset/Interfaces/8SNB/1/8G-LF-LF,5129,8712,8SNB
8SNB-1-9A-47-402,8SNB-1-JD-55-8712,/data4/hfxie/Dataset/Interfaces/8SNB/1/9A-JD-9A,/data4/hfxie/Dataset/Interfaces/8SNB/1/9A-JD-JD,402,8712,8SNB
8SNB-1-6M-33-1082,8SNB-1-AH-55-8712,/data4/hfxie/Dataset/Interfaces/8SNB/1/6M-AH-6M,/data4/hfxie/Dataset/Interfaces/8SNB/1/6M-AH-AH,1082,8712,8SNB
8SNB-1-6V-35-5395,8SNB-1-MJ-55-8712,/data4/hfxie/Dataset/Interfaces/8SNB/1/6V-MJ-6V,/data4/hfxie/Dataset/Interfaces/8SNB/1/6V-MJ-MJ,5395,8712,8SNB
8SNB-1-8X-46-6601,8SNB-1-LF-55-8712,/data4/hfxie/Dataset/Interfaces/8SNB/1/8X-LF-8X,/data4/hfxie/Dataset/Interfaces/8SNB/1/8X-LF-LF,6601,8712,8SNB
8SNB-1-1E-2-7203,8SNB-1-KH-55-8712,/data4/hfxie/Dataset/Interfaces/8SNB/1/1E-KH-1E,/data4/hfxie/Dataset/Interfaces/8SNB/1/1E-KH-KH,7203,8712,8SNB
8SNB-1-2K-15-8562,8SNB-1-MM-55-8712,/data4/hfxie/Dataset/Interfaces/8SNB/1/2K-MM-2K,/data4/hfxie/Dataset/Interfaces/8SNB/1/2K-MM-MM,8562,8712,8SNB
8SNB-1-2C-13-7986,8SNB-1-LH-55-8712,/data4/hfxie/Dataset/Interfaces/8SNB/1/2C-LH-2C,/data4/hfxie/Dataset/Interfaces/8SNB/1/2C-LH-LH,7986,8712,8SNB
8SNB-1-7M-38-3809,8SNB-1-LJ-55-8712,/data4/hfxie/Dataset/Interfaces/8SNB/1/7M-LJ-7M,/data4/hfxie/Dataset/Interfaces/8SNB/1/7M-LJ-LJ,3809,8712,8SNB
8SNB-1-7Q-39-370,8SNB-1-KC-55-8712,/data4/hfxie/Dataset/Interfaces/8SNB/1/7Q-KC-7Q,/data4/hfxie/Dataset/Interfaces/8SNB/1/7Q-KC-KC,370,8712,8SNB
8SNB-1-5B-30-2947,8SNB-1-OD-55-8712,/data4/hfxie/Dataset/Interfaces/8SNB/1/5B-OD-5B,/data4/hfxie/Dataset/Interfaces/8SNB/1/5B-OD-OD,2947,8712,8SNB
8SNB-1-3W-23-3212,8SNB-1-VJ-55-8712,/data4/hfxie/Dataset/Interfaces/8SNB/1/3W-VJ-3W,/data4/hfxie/Dataset/Interfaces/8SNB/1/3W-VJ-VJ,3212,8712,8SNB
8SNB-1-7Y-41-6397,8SNB-1-JM-55-8712,/data4/hfxie/Dataset/Interfaces/8SNB/1/7Y-JM-7Y,/data4/hfxie/Dataset/Interfaces/8SNB/1/7Y-JM-JM,6397,8712,8SNB
8SNB-1-9T-52-5246,8SNB-1-JH-55-8712,/data4/hfxie/Dataset/Interfaces/8SNB/1/9T-JH-9T,/data4/hfxie/Dataset/Interfaces/8SNB/1/9T-JH-JH,5246,8712,8SNB
8SNB-1-1B-1-6030,8SNB-1-VC-55-8712,/data4/hfxie/Dataset/Interfaces/8SNB/1/1B-VC-1B,/data4/hfxie/Dataset/Interfaces/8SNB/1/1B-VC-VC,6030,8712,8SNB
8SNB-1-2G-14-6029,8SNB-1-JJ-55-8712,/data4/hfxie/Dataset/Interfaces/8SNB/1/2G-JJ-2G,/data4/hfxie/Dataset/Interfaces/8SNB/1/2G-JJ-JJ,6029,8712,8SNB
8SNB-1-1P-4-8192,8SNB-1-MC-55-8712,/data4/hfxie/Dataset/Interfaces/8SNB/1/1P-MC-1P,/data4/hfxie/Dataset/Interfaces/8SNB/1/1P-MC-MC,8192,8712,8SNB
8SNB-1-3J-20-8536,8SNB-1-IH-55-8712,/data4/hfxie/Dataset/Interfaces/8SNB/1/3J-IH-3J,/data4/hfxie/Dataset/Interfaces/8SNB/1/3J-IH-IH,8536,8712,8SNB
8SNB-1-9G-49-5130,8SNB-1-GC-55-8712,/data4/hfxie/Dataset/Interfaces/8SNB/1/9G-GC-9G,/data4/hfxie/Dataset/Interfaces/8SNB/1/9G-GC-GC,5130,8712,8SNB
